AGENCY,RECIPIENT,AWARD DESCRIPTION,PAYMENT DATE,PAYMENT
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,UNIVERSITY OF CALIFORNIA-SAN FRANCISCO,"State - University, College, Jr. College",3/7/2025,"$264,685"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,UNIVERSITY OF CALIFORNIA-SAN FRANCISCO,"State - University, College, Jr. College",3/7/2025,"$49,974"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,California Dept of Public Health,State - Other Health Organization,3/6/2025,"$8,873"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,California Dept of Public Health,State - Other Health Organization,3/7/2025,"$61,330"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,California Dept of Public Health,State - Other Health Organization,3/7/2025,"$82,218"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,California Dept of Public Health,State - Other Health Organization,3/7/2025,$178
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,California Dept of Public Health,State - Other Health Organization,3/7/2025,"$78,716"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,California Dept of Public Health,State - Other Health Organization,3/7/2025,"$308,903"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,California Dept of Public Health,State - Other Health Organization,3/7/2025,"$42,003"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,California Dept of Public Health,State - Other Health Organization,3/7/2025,$171
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,California Dept of Public Health,State - Other Health Organization,3/6/2025,"$12,987"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,California Dept of Public Health,State - Other Health Organization,3/6/2025,"$10,800"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,California Dept of Public Health,State - Other Health Organization,3/7/2025,$133
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,California Dept of Public Health,State - Other Health Organization,3/7/2025,"$22,445"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,California Dept of Public Health,State - Other Health Organization,3/7/2025,"$160,039"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,California Dept of Public Health,State - Other Health Organization,3/7/2025,"$2,078"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,UNIVERSITY OF WISCONSIN SYSTEM/BOARD OF REGENTS,"State - University, College, Jr. College",3/7/2025,"$18,898"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,UNIVERSITY OF WISCONSIN SYSTEM/BOARD OF REGENTS,"State - University, College, Jr. College",3/7/2025,"$4,532"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,UNIVERSITY OF WISCONSIN SYSTEM/BOARD OF REGENTS,"State - University, College, Jr. College",3/7/2025,"$15,231"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,UNIVERSITY OF WISCONSIN SYSTEM/BOARD OF REGENTS,"State - University, College, Jr. College",3/7/2025,"$15,351"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,UNIVERSITY OF WISCONSIN SYSTEM/BOARD OF REGENTS,"State - University, College, Jr. College",3/7/2025,"$3,072"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,UNIVERSITY OF WISCONSIN SYSTEM/BOARD OF REGENTS,"State - University, College, Jr. College",3/7/2025,"$5,332"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,MICHIGAN DEPARTMENT OF HEALTH AND HUMAN SERVICES,State - Health Department,3/7/2025,"$73,119"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,MICHIGAN DEPARTMENT OF HEALTH AND HUMAN SERVICES,State - Health Department,3/7/2025,"$449,609"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,MICHIGAN DEPARTMENT OF HEALTH AND HUMAN SERVICES,State - Health Department,3/7/2025,"$93,099"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,MICHIGAN DEPARTMENT OF HEALTH AND HUMAN SERVICES,State - Health Department,3/7/2025,"$82,714"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,MICHIGAN DEPARTMENT OF HEALTH AND HUMAN SERVICES,State - Health Department,3/7/2025,"$75,827"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,MICHIGAN DEPARTMENT OF HEALTH AND HUMAN SERVICES,State - Health Department,3/7/2025,"$62,336"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,MICHIGAN DEPARTMENT OF HEALTH AND HUMAN SERVICES,State - Health Department,3/7/2025,"$45,937"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,MICHIGAN DEPARTMENT OF HEALTH AND HUMAN SERVICES,State - Health Department,3/7/2025,"$26,909"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,CHILDREN`S HOSPITAL MEDICAL CENTER,"Private Non-Profit - Hospital, Clinic, Health Ctr, Instit, Mental Health Ctr",3/7/2025,"$4,455"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,CHILDREN`S HOSPITAL MEDICAL CENTER,"Private Non-Profit - Hospital, Clinic, Health Ctr, Instit, Mental Health Ctr",3/7/2025,"$18,986"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,East Central University,State - Social Services Department,3/7/2025,"$3,385"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,"UNIVERSITY OF COLORADO, OFFICE FOR SINGLE LTR OF CREDIT","State - University, College, Jr. College",3/7/2025,"$89,326"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,COLORADO STATE UNIVERSITY,"State - University, College, Jr. College",3/7/2025,"$21,108"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,COLORADO STATE UNIVERSITY,"State - University, College, Jr. College",3/7/2025,"$48,694"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,COLORADO STATE UNIVERSITY,"State - University, College, Jr. College",3/7/2025,"$38,156"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,COLORADO STATE UNIVERSITY,"State - University, College, Jr. College",3/7/2025,"$23,566"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,MO ST DEPARTMENT OF HEALTH & SENIOR SERVICES,State - Health Department,3/7/2025,"$600,000"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,MO ST DEPARTMENT OF HEALTH & SENIOR SERVICES,State - Health Department,3/7/2025,"$1,000"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,MO ST DEPARTMENT OF HEALTH & SENIOR SERVICES,State - Health Department,3/7/2025,"$100,000"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,ALBUQUERQUE AREA INDIAN HEALTH BOARD INC,"Other(Towns,Villages,American Indian Tribe) - Indian Tribal Council",3/7/2025,"$108,107"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,ALBUQUERQUE AREA INDIAN HEALTH BOARD INC,"Other(Towns,Villages,American Indian Tribe) - Indian Tribal Council",3/7/2025,"$3,134"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,ALBUQUERQUE AREA INDIAN HEALTH BOARD INC,"Other(Towns,Villages,American Indian Tribe) - Indian Tribal Council",3/7/2025,"$12,112"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,ALBUQUERQUE AREA INDIAN HEALTH BOARD INC,"Other(Towns,Villages,American Indian Tribe) - Indian Tribal Council",3/7/2025,"$7,067"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,ALBUQUERQUE AREA INDIAN HEALTH BOARD INC,"Other(Towns,Villages,American Indian Tribe) - Indian Tribal Council",3/7/2025,"$4,609"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,HAWAII DEPARTMENT OF HEALTH,State - Health Department,3/7/2025,"$3,800"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,FASD UNITED INC,Public Non-Profit - Other Health Organization,3/7/2025,"$2,630"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,IA ST DEPARTMENT OF PUBLIC HEALTH,State - Health Department,3/7/2025,"$4,708"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,IA ST DEPARTMENT OF PUBLIC HEALTH,State - Health Department,3/7/2025,"$42,524"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,IA ST DEPARTMENT OF PUBLIC HEALTH,State - Health Department,3/7/2025,"$64,265"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,IA ST DEPARTMENT OF PUBLIC HEALTH,State - Health Department,3/7/2025,"$162,640"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,IA ST DEPARTMENT OF PUBLIC HEALTH,State - Health Department,3/7/2025,"$23,740"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,IA ST DEPARTMENT OF PUBLIC HEALTH,State - Health Department,3/7/2025,"$2,139"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,IA ST DEPARTMENT OF PUBLIC HEALTH,State - Health Department,3/7/2025,"$14,201"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,JOHNS HOPKINS UNIVERSITY,"Private Non-Profit - University, College, Jr. College",3/7/2025,$70
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,JOHNS HOPKINS UNIVERSITY,"Private Non-Profit - University, College, Jr. College",3/7/2025,$104
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,JOHNS HOPKINS UNIVERSITY,"Private Non-Profit - University, College, Jr. College",3/7/2025,$156
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,JOHNS HOPKINS UNIVERSITY,"Private Non-Profit - University, College, Jr. College",3/7/2025,$158
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,JOHNS HOPKINS UNIVERSITY,"Private Non-Profit - University, College, Jr. College",3/7/2025,$257
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,JOHNS HOPKINS UNIVERSITY,"Private Non-Profit - University, College, Jr. College",3/7/2025,"$2,012"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,JOHNS HOPKINS UNIVERSITY,"Private Non-Profit - University, College, Jr. College",3/7/2025,"$6,914"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,JOHNS HOPKINS UNIVERSITY,"Private Non-Profit - University, College, Jr. College",3/7/2025,"$2,009"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,JOHNS HOPKINS UNIVERSITY,"Private Non-Profit - University, College, Jr. College",3/7/2025,"$15,565"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,JOHNS HOPKINS UNIVERSITY,"Private Non-Profit - University, College, Jr. College",3/7/2025,"$1,678"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,JOHNS HOPKINS UNIVERSITY,"Private Non-Profit - University, College, Jr. College",3/7/2025,$340
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,JOHNS HOPKINS UNIVERSITY,"Private Non-Profit - University, College, Jr. College",3/7/2025,$6
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,JOHNS HOPKINS UNIVERSITY,"Private Non-Profit - University, College, Jr. College",3/7/2025,$4
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,JOHNS HOPKINS UNIVERSITY,"Private Non-Profit - University, College, Jr. College",3/7/2025,"$1,433"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,JOHNS HOPKINS UNIVERSITY,"Private Non-Profit - University, College, Jr. College",3/7/2025,$20
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,JOHNS HOPKINS UNIVERSITY,"Private Non-Profit - University, College, Jr. College",3/7/2025,$230
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,JOHNS HOPKINS UNIVERSITY,"Private Non-Profit - University, College, Jr. College",3/7/2025,$51
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,JOHNS HOPKINS UNIVERSITY,"Private Non-Profit - University, College, Jr. College",3/7/2025,$4
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,JOHNS HOPKINS UNIVERSITY,"Private Non-Profit - University, College, Jr. College",3/7/2025,"$63,737"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,JOHNS HOPKINS UNIVERSITY,"Private Non-Profit - University, College, Jr. College",3/7/2025,$19
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,JOHNS HOPKINS UNIVERSITY,"Private Non-Profit - University, College, Jr. College",3/7/2025,"$372,729"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,JOHNS HOPKINS UNIVERSITY,"Private Non-Profit - University, College, Jr. College",3/7/2025,"$2,745"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,JOHNS HOPKINS UNIVERSITY,"Private Non-Profit - University, College, Jr. College",3/7/2025,$201
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,JOHNS HOPKINS UNIVERSITY,"Private Non-Profit - University, College, Jr. College",3/7/2025,"$8,890"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,JOHNS HOPKINS UNIVERSITY,"Private Non-Profit - University, College, Jr. College",3/7/2025,"$88,900"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,JOHNS HOPKINS UNIVERSITY,"Private Non-Profit - University, College, Jr. College",3/7/2025,"$4,646"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,JOHNS HOPKINS UNIVERSITY,"Private Non-Profit - University, College, Jr. College",3/7/2025,$670
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,JOHNS HOPKINS UNIVERSITY,"Private Non-Profit - University, College, Jr. College",3/7/2025,"$33,551"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,KENT STATE UNIVERSITY,"State - University, College, Jr. College",3/7/2025,"$66,336"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,"UNIVERSITY OF KENTUCKY RESEARCH FOUNDATION, THE","State - Research Institution, Foundation, Laboratory",3/7/2025,"$36,213"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,"UNIVERSITY OF KENTUCKY RESEARCH FOUNDATION, THE","State - Research Institution, Foundation, Laboratory",3/7/2025,"$4,678"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,"UNIVERSITY OF KENTUCKY RESEARCH FOUNDATION, THE","State - Research Institution, Foundation, Laboratory",3/7/2025,$124
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,"UNIVERSITY OF KENTUCKY RESEARCH FOUNDATION, THE","State - Research Institution, Foundation, Laboratory",3/7/2025,"$12,515"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,"UNIVERSITY OF KENTUCKY RESEARCH FOUNDATION, THE","State - Research Institution, Foundation, Laboratory",3/7/2025,"$15,206"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,"UNIVERSITY OF KENTUCKY RESEARCH FOUNDATION, THE","State - Research Institution, Foundation, Laboratory",3/7/2025,"$19,574"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,"UNIVERSITY OF KENTUCKY RESEARCH FOUNDATION, THE","State - Research Institution, Foundation, Laboratory",3/7/2025,"$11,868"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,"UNIVERSITY OF KENTUCKY RESEARCH FOUNDATION, THE","State - Research Institution, Foundation, Laboratory",3/7/2025,"$9,891"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,"UNIVERSITY OF KENTUCKY RESEARCH FOUNDATION, THE","State - Research Institution, Foundation, Laboratory",3/7/2025,"$64,879"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,"UNIVERSITY OF KENTUCKY RESEARCH FOUNDATION, THE","State - Research Institution, Foundation, Laboratory",3/7/2025,"$2,583"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,"UNIVERSITY OF KENTUCKY RESEARCH FOUNDATION, THE","State - Research Institution, Foundation, Laboratory",3/7/2025,"$180,017"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,"UNIVERSITY OF KENTUCKY RESEARCH FOUNDATION, THE","State - Research Institution, Foundation, Laboratory",3/7/2025,$392
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,"UNIVERSITY OF KENTUCKY RESEARCH FOUNDATION, THE","State - Research Institution, Foundation, Laboratory",3/7/2025,"$4,780"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,"UNIVERSITY OF KENTUCKY RESEARCH FOUNDATION, THE","State - Research Institution, Foundation, Laboratory",3/7/2025,"$1,211"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,"HEALTH AND HUMAN SERVICES, MAINE DEPARTMENT OF",State - Social Services Department,3/7/2025,"$3,246"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,LONG ISLAND CRISIS CENTER,Private Non-Profit - Other Social Services Organization,3/7/2025,"$18,517"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,LONG BEACH DEPARTMENT OF HEALTH & HUMAN SERVICES,City - Health Department,3/7/2025,"$23,782"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,"Association of Public Health Laboratories, Inc. (THE)",Private Non-Profit - Planning and Administrative Organization,3/7/2025,"$428,850"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,"Association of Public Health Laboratories, Inc. (THE)",Private Non-Profit - Planning and Administrative Organization,3/7/2025,"$61,263"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,"Association of Public Health Laboratories, Inc. (THE)",Private Non-Profit - Planning and Administrative Organization,3/7/2025,"$66,397"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,"Association of Public Health Laboratories, Inc. (THE)",Private Non-Profit - Planning and Administrative Organization,3/7/2025,"$716,557"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,"Association of Public Health Laboratories, Inc. (THE)",Private Non-Profit - Planning and Administrative Organization,3/7/2025,"$77,409"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,"Association of Public Health Laboratories, Inc. (THE)",Private Non-Profit - Planning and Administrative Organization,3/7/2025,"$48,929"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,"Association of Public Health Laboratories, Inc. (THE)",Private Non-Profit - Planning and Administrative Organization,3/7/2025,"$223,200"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,"Association of Public Health Laboratories, Inc. (THE)",Private Non-Profit - Planning and Administrative Organization,3/7/2025,"$75,986"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,"Association of Public Health Laboratories, Inc. (THE)",Private Non-Profit - Planning and Administrative Organization,3/7/2025,"$180,096"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,"Association of Public Health Laboratories, Inc. (THE)",Private Non-Profit - Planning and Administrative Organization,3/7/2025,"$153,743"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,"Association of Public Health Laboratories, Inc. (THE)",Private Non-Profit - Planning and Administrative Organization,3/7/2025,"$25,051"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,"Association of Public Health Laboratories, Inc. (THE)",Private Non-Profit - Planning and Administrative Organization,3/7/2025,"$51,211"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,"Association of Public Health Laboratories, Inc. (THE)",Private Non-Profit - Planning and Administrative Organization,3/7/2025,"$28,028"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,"Association of Public Health Laboratories, Inc. (THE)",Private Non-Profit - Planning and Administrative Organization,3/7/2025,"$442,155"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,"LA ST DEPARTMENT OF EDUCATION, BUREAU OF ACCOUNTING",State - Educational Department,3/7/2025,"$4,311"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,WA ST DEPARTMENT OF HEALTH,State - Health Department,3/7/2025,"$440,853"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,WA ST DEPARTMENT OF HEALTH,State - Health Department,3/7/2025,"$142,098"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,WA ST DEPARTMENT OF HEALTH,State - Health Department,3/7/2025,"$140,685"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,WA ST DEPARTMENT OF HEALTH,State - Health Department,3/7/2025,"$82,414"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,WA ST DEPARTMENT OF HEALTH,State - Health Department,3/7/2025,"$198,200"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,WA ST DEPARTMENT OF HEALTH,State - Health Department,3/7/2025,"$6,548"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,WA ST DEPARTMENT OF HEALTH,State - Health Department,3/7/2025,"$18,245"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,WA ST DEPARTMENT OF HEALTH,State - Health Department,3/7/2025,"$19,840"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,WA ST DEPARTMENT OF HEALTH,State - Health Department,3/7/2025,"$1,703,857"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,WA ST DEPARTMENT OF HEALTH,State - Health Department,3/7/2025,"$36,669"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,WA ST DEPARTMENT OF HEALTH,State - Health Department,3/7/2025,"$7,057"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,WA ST DEPARTMENT OF HEALTH,State - Health Department,3/7/2025,"$21,844"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,WA ST DEPARTMENT OF HEALTH,State - Health Department,3/7/2025,"$27,268"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,WA ST DEPARTMENT OF HEALTH,State - Health Department,3/7/2025,"$102,668"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,WA ST DEPARTMENT OF HEALTH,State - Health Department,3/7/2025,"$78,940"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,WA ST DEPARTMENT OF HEALTH,State - Health Department,3/7/2025,"$61,809"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,WA ST DEPARTMENT OF HEALTH,State - Health Department,3/7/2025,"$81,779"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,WA ST DEPARTMENT OF HEALTH,State - Health Department,3/7/2025,"$24,122"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,WA ST DEPARTMENT OF HEALTH,State - Health Department,3/7/2025,"$352,713"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,WA ST DEPARTMENT OF HEALTH,State - Health Department,3/7/2025,"$7,950"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,WA ST DEPARTMENT OF HEALTH,State - Health Department,3/7/2025,"$195,754"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,WA ST DEPARTMENT OF HEALTH,State - Health Department,3/7/2025,"$23,180"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,WA ST DEPARTMENT OF HEALTH,State - Health Department,3/7/2025,"$70,294"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,WA ST DEPARTMENT OF HEALTH,State - Health Department,3/7/2025,"$9,195"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,WA ST DEPARTMENT OF HEALTH,State - Health Department,3/7/2025,"$3,460"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,WA ST DEPARTMENT OF HEALTH,State - Health Department,3/7/2025,"$37,198"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,WA ST DEPARTMENT OF HEALTH,State - Health Department,3/7/2025,"$10,150"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,WA ST DEPARTMENT OF HEALTH,State - Health Department,3/7/2025,"$164,354"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,WA ST DEPARTMENT OF HEALTH,State - Health Department,3/7/2025,"$11,198"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,WA ST DEPARTMENT OF HEALTH,State - Health Department,3/7/2025,"$377,956"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,WA ST DEPARTMENT OF HEALTH,State - Health Department,3/7/2025,"$17,788"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,WA ST DEPARTMENT OF HEALTH,State - Health Department,3/7/2025,"$4,165"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,WA ST DEPARTMENT OF HEALTH,State - Health Department,3/7/2025,"$10,616"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,WA ST DEPARTMENT OF HEALTH,State - Health Department,3/7/2025,"$12,911"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,WA ST DEPARTMENT OF HEALTH,State - Health Department,3/7/2025,"$152,120"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,WA ST DEPARTMENT OF HEALTH,State - Health Department,3/7/2025,"$62,605"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,WA ST DEPARTMENT OF HEALTH,State - Health Department,3/7/2025,"$44,446"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,WA ST DEPARTMENT OF HEALTH,State - Health Department,3/7/2025,"$19,033"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,WA ST DEPARTMENT OF HEALTH,State - Health Department,3/7/2025,"$195,655"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,WA ST DEPARTMENT OF HEALTH,State - Health Department,3/7/2025,"$84,080"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,WA ST DEPARTMENT OF HEALTH,State - Health Department,3/7/2025,"$50,747"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,WA ST DEPARTMENT OF HEALTH,State - Health Department,3/7/2025,"$30,752"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,WA ST DEPARTMENT OF HEALTH,State - Health Department,3/7/2025,"$5,597"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,WA ST DEPARTMENT OF HEALTH,State - Health Department,3/7/2025,"$35,273"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,WA ST DEPARTMENT OF HEALTH,State - Health Department,3/7/2025,"$19,724"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,WA ST DEPARTMENT OF HEALTH,State - Health Department,3/7/2025,"$32,260"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,WA ST DEPARTMENT OF HEALTH,State - Health Department,3/7/2025,"$8,721"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,WA ST DEPARTMENT OF HEALTH,State - Health Department,3/7/2025,"$4,811"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,WA ST DEPARTMENT OF HEALTH,State - Health Department,3/7/2025,"$15,529"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,WA ST DEPARTMENT OF HEALTH,State - Health Department,3/7/2025,"$78,263"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,WA ST DEPARTMENT OF HEALTH,State - Health Department,3/7/2025,"$11,355"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,WA ST DEPARTMENT OF HEALTH,State - Health Department,3/7/2025,"$12,511"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,WA ST DEPARTMENT OF HEALTH,State - Health Department,3/7/2025,"$6,638"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,WA ST DEPARTMENT OF HEALTH,State - Health Department,3/7/2025,"$53,606"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,WA ST DEPARTMENT OF HEALTH,State - Health Department,3/7/2025,"$125,378"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,WA ST DEPARTMENT OF HEALTH,State - Health Department,3/7/2025,"$5,180"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,WA ST DEPARTMENT OF HEALTH,State - Health Department,3/7/2025,"$19,512"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,WA ST DEPARTMENT OF HEALTH,State - Health Department,3/7/2025,"$5,595"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,WA ST DEPARTMENT OF HEALTH,State - Health Department,3/7/2025,"$104,322"
